"Компания"
"Ай Ти Инвест ИК АО"
"Айсберг Финанс ИК ООО"
"Банк Казани КБЭР ООО"
"Банк Кредит Свисс (Москва) АО"
"Датабанк АО"
"ДВМ-ИНВЕСТ ИФК АО"
"Деловой Дом Калита УК ООО"
"Детство-1 ИФ ПАО"
"Дж.П. Морган Банк Интернешнл КБ ООО"
"Дженерал Кэпитал УК АО"
"Джи Ай Си Эм - управление активами ООО"
"Джи Ай Си Эм УК ООО"
"Джи Пи Ай УК ООО"
"Джи Экс Ту Инвест АО"
"ДжиЭс Капитал УК ООО"
"Джулиус Бэр СНГ ООО"
"Диана Управляющая компания ЗАО"
"Династия УК ООО"
"ДИНК-ИНВЕСТ ООО"
"ДОЙЧЕ БАНК ООО"
"Долгосрочные инвестиции УК ООО"
"ДОМ.РФ Управление активами ООО"
"Доминвест УК ООО"
"ДонТК ООО"
"ДОХОДЪ УК ООО"
"Евро Фин Траст УК ООО"
"Енисейский объединенный банк АИКБ АО"
"Защита ИФ ПАО"
"ЗЕНИТ Банк ПАО"
"Иволга Капитал ИК ООО"
"ИК Банк АО"
"ИКАЦ ООО"
"ИМПАКТ КАПИТАЛ ИК ООО"
"Инвест-Урал УК ООО"
"Инвест Менеджмент Центр УК ООО"
"Инвестиции в будущее УК ООО"
"Инвестиции и инновации УК ООО"
"Инвестиционная компания ЛМС АО"
"Инвестиционная палата ООО"
"Инвестлэнд ИК ООО"
"ИНВЕСТСТРОЙ УК АО"
"Ингосстрах - Инвестиции УК АО"
"Ингрия УК ООО"
